model,question_index,cosine_similarity,question,document_id
gpt-3.5-turbo,0,0.32164168,Do foreign travelers need a visa and passport to visit Karnataka?,7adcc584
gpt-3.5-turbo,1,0.58120424,What is the historical importance of Penukonda in the context of the Vijayanagara empire?,032385d9
gpt-3.5-turbo,2,0.90424675,What are the main cultural and spiritual centers to visit in Andhra Pradesh?,dceae12c
gpt-3.5-turbo,3,0.70130014,Which species of animals and birds might I encounter in Bandipur National Park?,2ffbfa3d
gpt-3.5-turbo,4,0.75405425,What are some must-visit cultural and natural attractions in Karnataka?,56d1a83b
gpt-3.5-turbo,5,0.5988228,Are there any special cultural events or festivals a visitor should try to experience while in Karnataka?,df2f68d2
gpt-3.5-turbo,6,0.585924,How is Andhra Pradesh’s dal or pappu different from dals in other regions?,d7f31dff
gpt-3.5-turbo,7,0.29808167,Which beaches and river confluences are popular tourist spots in Andhra Pradesh?,35012d81
gpt-3.5-turbo,8,0.7719038,"Does the Karnataka State Tourism Development Corporation (KSTDC) manage hotels, and what types of accommodations do they offer?",fcd19dc9
gpt-3.5-turbo,9,0.6559107,Are there any waterfalls in Karnataka that are associated with historical or religious significance?,5edc52cd
gpt-3.5-turbo,10,0.3468333,During which months is the best time to visit Andhra Pradesh’s hill stations and forests?,18c12abb
gpt-3.5-turbo,11,0.5573957,"Are there any required pre-booking procedures or permits needed for trekking in the Western Ghats region around Sakleshpur, Chikmagalur, and Coorg?",2e7798da
gpt-3.5-turbo,12,0.4470983,"How can I get around within Bengaluru, including public transit and taxis?",9797a184
gpt-3.5-turbo,13,0.43788654,How far is Sai Priya Beach Resort from Visakhapatnam Airport?,3ed17fb0
gpt-3.5-turbo,14,0.57524335,Which city in Andhra Pradesh is known for having exotic beach resorts?,3ed17fb0
gpt-3.5-turbo,15,0.56052756,What are the main options for booking long-distance bus tickets in Andhra Pradesh?,6971dd73
gpt-3.5-turbo,16,0.41838723,What local language should I know basic phrases in when traveling across Karnataka?,cd773775
gpt-3.5-turbo,17,0.6946308,Which city is currently the fastest-growing in Karnataka after Bangalore?,c75cb1f7
gpt-3.5-turbo,18,0.5851116,"What are the entry fees for Indian and foreign tourists visiting Mysore Palace, and are children charged?",770e1a00
gpt-3.5-turbo,19,0.3471985,What are the primary transportation options available to get around Karnataka?,07ac0187
gpt-3.5-turbo,20,0.44681683,When is the best time to plan a trip to Andhra Pradesh to enjoy the weather and festivals?,dceae12c
gpt-3.5-turbo,21,0.5464611,Are there guided tours or expert guides available for jungle trekking in Dandeli?,e86f4081
