model,question_index,question,location,document_id,answer_orig,answer_llm
gpt-3.5-turbo,0,Do foreign travelers need a visa and passport to visit Karnataka?,Karnataka,7adcc584,"of India. Served with brinjal curry (various types of preparations) and chutney (peanuts and garlic variant). A staple diet in Northern Karnataka and the border areas with Maharashtra. Kesari Bhath - Originally a dessert item, this is now popular as breakfast. Made with sooji (semolina), ghee (for taste), water and milk. Garnished with cashew nuts and dried fruits for added taste. In some parts of Karnataka it is known as Shira. Mysore Pak - A sweet delicacy created in the Royal Kitchen of","No, foreign travelers do not need a visa and passport to visit Karnataka mentioned in the context."
gpt-3.5-turbo,1,What is the historical importance of Penukonda in the context of the Vijayanagara empire?,Andhra_Pradesh,032385d9,"a holy city with many temples Penukonda - Summer capital of Vijayanagar empire - Forts and temples built by Sri Krishnadevaraya king. Pulicat Lake - second largest brackish water lake in India SriKrishna Devaraya University, Ananthapur - named after a patron of learning and the arts, Sri Krishnadevaraya Srisailam - played a dominant role in Indian religious, cultural and social history. Sri Bhramaramba Mallikarjuna Temple is located here Talakona - a beautiful 82-metre waterfall in Nerabailu","Penukonda holds historical importance as the summer capital of the Vijayanagar empire. It is home to forts and temples built by the king Sri Krishnadevaraya, showcasing the cultural and historical significance of the empire in this region of Andhra Pradesh."
gpt-3.5-turbo,2,What are the main cultural and spiritual centers to visit in Andhra Pradesh?,Andhra_Pradesh,dceae12c,"- known as the cultural capital of Andhra Pradesh, noted for its versatile Vedic culture and intellectualism 1 2 3 4 5 6 Tirupati - known as spiritual capital of Andhra Pradesh; has a sacred temple on the Tirumala Hills Vijayawada - known as commercial capital of Andhra Pradesh; its second largest city Visakhapatnam (Vizag) —","The main cultural and spiritual centers to visit in Andhra Pradesh include Tirupati, known as the spiritual capital of Andhra Pradesh with a sacred temple on the Tirumala Hills, and Vijayawada, known as the commercial capital. Amaravati, the capital of Andhra Pradesh, covers areas with Buddhist sites, while Guntur is home to many ancient archaeological sites and temples. Rajahmundry is also known as the cultural capital, noted for its versatile Vedic culture. These are must-visit places to experience the cultural and spiritual richness of Andhra Pradesh."
gpt-3.5-turbo,3,Which species of animals and birds might I encounter in Bandipur National Park?,Karnataka,2ffbfa3d,"Wildlife in Karnataka is administered under such institutions as national parks, wildlife sanctuaries and bird sanctuaries initiatives. Karnataka has 5 declared national parks that abound in diverse flora and fauna, including:","In Bandipur National Park in Karnataka, you may encounter a variety of wildlife including tigers, leopards, elephants, and various species of birds."
gpt-3.5-turbo,4,What are some must-visit cultural and natural attractions in Karnataka?,Karnataka,56d1a83b,"Below is a selective list of sites of interest in Karnataka. It is far from exhaustive. For other sites, check regional articles.","Some must-visit cultural and natural attractions in Karnataka include:
1. Religious sites
2. Remnants of historical empires
3. UNESCO World Heritage Sites
4. National parks
5. Bird sanctuaries
6. Wildlife sanctuaries
7. Palaces
8. Forts
9. Beaches
10. Hill stations
11. Caves
12. Waterfalls

For trekking enthusiasts, popular places for trekking in Karnataka include beautiful mountain ranges, national parks, forests, wildlife, and waterfalls."
gpt-3.5-turbo,5,Are there any special cultural events or festivals a visitor should try to experience while in Karnataka?,Karnataka,df2f68d2,"Bangalore The state capital as well as the information technology capital of India. Cauvery Basin Southern Karnataka, including Mysore. Rolling hills, large sunflower fields and Tibetan culture. Southeastern Karnataka Central Karnataka Karavali Karnataka's coastal region. A Relatively unexplored region, full of empty beaches and lush green rainforest. Northern Karnataka Home to the stunning religious and archeological site of Hampi. Full of other-worldly geology and nature. Northwestern","There are several special cultural events and festivals in Karnataka that visitors should try to experience. Some of the popular festivals in Karnataka include the Mysuru Dasara, Hampi Festival, Karaga Festival, Hoysala Mahotsava, and Kambala. These festivals showcase the rich cultural heritage and traditions of Karnataka and are a great way for visitors to immerse themselves in the local culture. It is recommended to check the specific dates of these festivals and plan your visit accordingly to experience them."
gpt-3.5-turbo,6,How is Andhra Pradesh’s dal or pappu different from dals in other regions?,Andhra_Pradesh,d7f31dff,"A typical meal in Telugu cuisine consists of a combination of cooked rice, pickles (pachadi), dal (pappu), curry, yogurt (perugu) or buttermilk (majjiga), and papadum (appadam). Chewing paan, a somewhat narcotic mixture of betel leaves and areca nut, is also a common practice after meals. Lunch and dinner are elaborate affairs in many households. In traditional households, the meal is served on arati aaku, a single plantain leaf, or vistari, a larger plate made of several leaves sewn together.","Andhra Pradesh's dal or pappu is different from dals in other regions because it is typically made with toor dal (kandi pappu) or moong dal (pesara pappu) cooked with vegetables or greens without the addition of masala. Some regions include garlic and onion in the seasoning, while others prefer asafetida (hing/Inguva). Additionally, the cooked dal can be replaced with a roast and ground version like Kandi pachadi (roasted toor dal ground with red chilies) and pesara pachadi (soaked moong dal ground with red or green chilies)."
gpt-3.5-turbo,7,Which beaches and river confluences are popular tourist spots in Andhra Pradesh?,Andhra_Pradesh,35012d81,Carnatic music - Carnatic music is born in the rich Telugu language Kuchipudi dance - one of the world famous classical dance forms of India.,Some popular tourist spots in Andhra Pradesh related to beaches include Visakhapatnam (Vizag) which is known for its exotic resorts near beaches.
gpt-3.5-turbo,8,"Does the Karnataka State Tourism Development Corporation (KSTDC) manage hotels, and what types of accommodations do they offer?",Karnataka,fcd19dc9,options at various price points with multiple hotels in some cities across the budget range. Home stays are a New and fast growing option for those who would like to experience the native life and are around places as divergent as Chikmagalur or even Nandi Hills. The Karnataka-Govt owned Karnataka State Tourism Development Corporation (KSTDC) also runs inhouse branded hotels which range from Budget to Luxury at many of the tourist destinations located around the state.,"Yes, the Karnataka State Tourism Development Corporation (KSTDC) manages hotels that range from budget to luxury at many tourist destinations around the state."
gpt-3.5-turbo,9,Are there any waterfalls in Karnataka that are associated with historical or religious significance?,Karnataka,5edc52cd,"Waterfalls are one of the major tourist attractions in Karnataka, many of which are primarily located in Malenadu, Cauvery Basin and Karavali regions. The best time to visit these waterfalls would be during the monsoon months of June, July, August or post-rainy seasons between September to October months. Jog Falls near Sagara in Shimoga district is one of the highest waterfalls in India and Abbey Falls, Achakanya Falls, Balmuri Falls, Chunchanakatte Falls, Gokak Falls are some of the other","Yes, Gokak Falls in Karnataka is associated with historical significance. It is one of the well-known falls among the many waterfalls in Karnataka and is formed by the west-flowing Ghataprabha River. Gokak Falls has historical importance due to the presence of the Gokak mills which played a significant role during the Indian independence movement."
